status,mask_path,cell_type
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0001_det_000006_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0002_det_000019_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0003_det_000032_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0004_det_000039_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0005_det_000054_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0006_det_000065_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0007_det_000071_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0008_det_000081_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0009_det_000093_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0010_det_000106_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0011_det_000118_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0012_det_000131_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0013_det_000138_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0014_det_000150_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0015_det_000158_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0016_det_000177_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0017_det_000185_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/apl_suspect/apl_suspect/PMB_0018_det_000205_mask.png,apl_suspect
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0001_det_000216_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0002_det_000228_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0004_det_000254_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0005_det_000261_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0006_det_000272_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0007_det_000285_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0008_det_000294_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0009_det_000303_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0010_det_000315_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0011_det_000331_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0012_det_000336_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0013_det_000347_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0014_det_000354_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/artifact/artifact/KSC_0015_det_000358_mask.png,artifact
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/basophil/basophil/BAS_0001_det_000375_mask.png,basophil
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/basophil/basophil/BAS_0002_det_000390_mask.png,basophil
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/basophil/basophil/BAS_0003_det_000395_mask.png,basophil
OK,/home/yucheng/Desktop/techbio/artifacts/task_combine_preprocess/medsam_output/basophil/basophil/BAS_0004_det_000413_mask.png,basophil
